Address,Post Code,City,Type of property,Property Subtype,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Terrace,Terrace Area,Garden,Garden Area,Number of facades,Swimming pool,State of the building
 Rue Jacquet 7  ,5580,Rochefort,house,Residence,635.000,sale,6,292 m²,Yes,Yes,Yes,Yes,No,,Yes,No,
 Nijlense Steenweg 107  ,2270,Herenthout,apartment,Flat,249.500,sale,2,88 m²,No,No,Yes,Yes,No,,,No,No
 Nijlense Steenweg 107  ,2270,Herenthout,apartment,Flat,244.500,sale,2,88 m²,Yes,No,Yes,Yes,No,,,No,No
 Nijlense Steenweg 107  ,2270,Herenthout,apartment,Flat,234.500,sale,2,89 m²,No,No,Yes,Yes,No,,,No,No
 Nijlense Steenweg 107  ,2270,Herenthout,apartment,Flat,319.500,sale,2,125 m²,No,No,Yes,Yes,No,,,No,No
 Nijlense Steenweg 107  ,2270,Herenthout,apartment,Flat,334.500,sale,2,117 m²,Yes,No,Yes,Yes,No,,,No,No
 Nijlense Steenweg 107  ,2270,Herenthout,apartment,Flat,304.500,sale,2,117 m²,No,No,Yes,Yes,No,,,No,No
 Nijlense Steenweg 107  ,2270,Herenthout,apartment,Flat,239.500,sale,2,90 m²,Yes,No,Yes,Yes,No,,,No,No
 Doornzelestraat 23-31  ,9000,Gent,apartment,Flat,422.000,sale,2,107 m²,Yes,No,Yes,Yes,No,,Yes,No,2020
,1000,Brussels,apartment,Penthouse,340.000,sale,1,62 m²,Yes,No,No,,No,,,No,No
 Grotesteenweg-Zuid 26  ,9052,Zwijnaarde,apartment,Flat,351.500,sale,1,86 m²,Yes,No,Yes,Yes,No,,Yes,No,2022
 Grotesteenweg-Zuid 26  ,9052,Zwijnaarde,apartment,Flat,400.000,sale,2,102 m²,Yes,No,Yes,Yes,No,,Yes,No,2022
 Hoogkouter 30  ,9810,Eke,apartment,Ground,338.500,sale,3,106 m²,No,No,Yes,Yes,No,,Yes,No,
,,,apartment,Flat,ne,sale,,,No,No,No,,No,,,No,
,,,apartment,Flat,ne,sale,,,No,No,No,,No,,,No,
,,,apartment,Flat,ne,sale,,,No,No,No,,No,,,No,
 Vredelaan 118  ,1982,Weerde,house,Residence,349.000,sale,3,154 m²,No,Yes,Yes,,No,,Yes,No,No
,5537,Anhée,house,Cottage,239.500,sale,3,,No,Yes,Yes,,No,,Yes,No,
 Rue Emmanuel Jacquet 33  ,6044,Roux,house,Residence,239.000,sale,3,125 m²,Yes,No,No,,No,,1002 m²,No,
,,,apartment,Flat,ne,sale,,,No,No,No,,No,,,No,
 Verwerijstraat 16  ,8800,Roeselare,house,Residence,169.000,sale,5,,No,No,No,,No,,No,No,
,,,apartment,Flat,ne,sale,,,No,No,No,,No,,,No,
,,,apartment,Flat,ne,sale,,,No,No,No,,No,,,No,
,,,apartment,Flat,ne,sale,,,No,No,No,,No,,,No,
